old_path,new_path,stage,role,executable_or_helper
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/01_build_climate_anomaly_covariates.R,02_Script/40_renewal_model/38_ceara_current_pipeline/01_input_climate_preparation/01_build_climate_anomaly_covariates.R,01_input_climate_preparation,build climate anomaly covariates,executable
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/02_prior_predictive_and_orthogonality_check.R,02_Script/40_renewal_model/38_ceara_current_pipeline/01_input_climate_preparation/02_check_climate_orthogonality_and_priors.R,01_input_climate_preparation,orthogonality and prior checks,executable
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/02_prior_predictive_climate_multiplier.R,02_Script/40_renewal_model/38_ceara_current_pipeline/01_input_climate_preparation/03_check_climate_multiplier_prior.R,01_input_climate_preparation,climate multiplier prior check,executable
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/03_fit_ce_climate_forced_canary.R,02_Script/40_renewal_model/38_ceara_current_pipeline/02_historical_transmission_fitting/01_fit_ceara_climate_v49.R,02_historical_transmission_fitting,fit climate-forced v4.9 canary (the only Stan-fitting stage),executable
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/04_phase3_canary_diagnostics.R,02_Script/40_renewal_model/38_ceara_current_pipeline/03_model_diagnostics/01_validate_climate_v49_fit.R,03_model_diagnostics,validate accepted climate-forced v4.9 fit,executable
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/05_plot_ce_climate_canary_six_panel.R,02_Script/40_renewal_model/38_ceara_current_pipeline/03_model_diagnostics/02_plot_historical_reconstruction.R,03_model_diagnostics,plot historical reconstruction (six-panel),executable
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/06_build_age_population_shares.R,02_Script/40_renewal_model/38_ceara_current_pipeline/04_age_reconstruction/01_build_age_population_shares.R,04_age_reconstruction,build age population shares,executable
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/07_age_cohort_simulator.R,02_Script/40_renewal_model/38_ceara_current_pipeline/04_age_reconstruction/02_age_cohort_simulator.R,04_age_reconstruction,age-cohort simulator (simulate_age_cohort),helper
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/08_phase4_identity_test.R,02_Script/40_renewal_model/38_ceara_current_pipeline/04_age_reconstruction/03_validate_age_aggregation_identity.R,04_age_reconstruction,age-aggregation exact-identity test,executable
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/09_age_specific_susceptibility_diagnostic.R,02_Script/40_renewal_model/38_ceara_current_pipeline/04_age_reconstruction/04_reconstruct_age_specific_susceptibility.R,04_age_reconstruction,reconstruct age-specific susceptibility,executable
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/10_plot_age_specific_susceptibility.R,02_Script/40_renewal_model/38_ceara_current_pipeline/04_age_reconstruction/05_plot_age_specific_susceptibility.R,04_age_reconstruction,plot age-specific susceptibility,executable
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/11_phase1_2_closed_loop_replay_validation.R,02_Script/40_renewal_model/38_ceara_current_pipeline/05_closed_loop_validation/01_validate_closed_loop_replay.R,05_closed_loop_validation,closed-loop no-vaccine replay validation,executable
02_Script/40_renewal_model/36_climate_forced_v4_9/scripts/12_phase3_vaccine_unit_tests.R,02_Script/40_renewal_model/38_ceara_current_pipeline/07_vaccine_validation/01_vaccine_engine_unit_tests.R,07_vaccine_validation,vaccine engine unit tests,executable
